Date,Open,Close,High,Low
2018-01-15 07:00:00,1.37409,1.37557,1.37581,1.37321
2018-01-15 08:00:00,1.37558,1.37425,1.37607,1.37330
2018-01-15 09:00:00,1.37426,1.37918,1.38092,1.37416
2018-01-15 10:00:00,1.37918,1.37976,1.38199,1.37830
2018-01-15 11:00:00,1.37976,1.37719,1.38003,1.37712
2018-01-15 12:00:00,1.37721,1.37886,1.37900,1.37655
2018-01-15 13:00:00,1.37886,1.37987,1.37997,1.37756
2018-01-15 14:00:00,1.37991,1.38010,1.38052,1.37915
2018-01-15 15:00:00,1.38009,1.38020,1.38028,1.37797
2018-01-15 16:00:00,1.38021,1.38046,1.38094,1.37972
2018-01-15 17:00:00,1.38046,1.38108,1.38177,1.38029
2018-01-15 18:00:00,1.38108,1.38069,1.38140,1.38021
2018-01-15 19:00:00,1.38069,1.37953,1.38112,1.37921
2018-01-15 20:00:00,1.37952,1.37989,1.38015,1.37931
2018-01-15 21:00:00,1.37989,1.37967,1.37998,1.37951
2018-01-15 22:00:00,1.37969,1.37979,1.38085,1.37939
2018-01-15 23:00:00,1.37979,1.37948,1.38039,1.37927
2018-01-16 00:00:00,1.37947,1.37959,1.38046,1.37919
2018-01-16 01:00:00,1.37960,1.37999,1.38012,1.37842
2018-01-16 02:00:00,1.37998,1.38005,1.38063,1.37945
2018-01-16 03:00:00,1.38003,1.37834,1.38004,1.37831
2018-01-16 04:00:00,1.37834,1.37917,1.37945,1.37834
2018-01-16 05:00:00,1.37915,1.37890,1.37941,1.37879
2018-01-16 06:00:00,1.37890,1.37927,1.38034,1.37846
2018-01-16 07:00:00,1.37928,1.37881,1.37998,1.37763
2018-01-16 08:00:00,1.37880,1.37764,1.37960,1.37718
2018-01-16 09:00:00,1.37765,1.37658,1.37886,1.37562
2018-01-16 10:00:00,1.37658,1.37499,1.37680,1.37422
2018-01-16 11:00:00,1.37500,1.37476,1.37601,1.37450
2018-01-16 12:00:00,1.37476,1.37635,1.37663,1.37457
2018-01-16 13:00:00,1.37635,1.37646,1.37661,1.37538
2018-01-16 14:00:00,1.37645,1.37548,1.37697,1.37498
2018-01-16 15:00:00,1.37548,1.37747,1.37785,1.37538
2018-01-16 16:00:00,1.37740,1.37737,1.37767,1.37646
2018-01-16 17:00:00,1.37737,1.37726,1.37799,1.37690
2018-01-16 18:00:00,1.37727,1.37949,1.37971,1.37721
2018-01-16 19:00:00,1.37949,1.37940,1.37999,1.37920
2018-01-16 20:00:00,1.37940,1.37961,1.37981,1.37929
2018-01-16 21:00:00,1.37961,1.37926,1.37961,1.37900
2018-01-16 22:00:00,1.37929,1.37891,1.37967,1.37887
2018-01-16 23:00:00,1.37890,1.37979,1.38001,1.37890
2018-01-17 00:00:00,1.37979,1.38227,1.38369,1.37941
2018-01-17 01:00:00,1.38224,1.38168,1.38233,1.38141
2018-01-17 02:00:00,1.38167,1.37932,1.38206,1.37915
2018-01-17 03:00:00,1.37930,1.37896,1.37991,1.37865
2018-01-17 04:00:00,1.37896,1.37774,1.37945,1.37765
2018-01-17 05:00:00,1.37773,1.37761,1.37843,1.37702
2018-01-17 06:00:00,1.37761,1.37665,1.37794,1.37608
2018-01-17 07:00:00,1.37665,1.37593,1.37839,1.37575
2018-01-17 08:00:00,1.37602,1.37778,1.37837,1.37600
2018-01-17 09:00:00,1.37778,1.37948,1.37959,1.37741
2018-01-17 10:00:00,1.37947,1.37973,1.38030,1.37869
2018-01-17 11:00:00,1.37970,1.37860,1.38077,1.37858
2018-01-17 12:00:00,1.37857,1.37790,1.37901,1.37786
2018-01-17 13:00:00,1.37790,1.37934,1.38010,1.37764
2018-01-17 14:00:00,1.37937,1.37994,1.38061,1.37904
2018-01-17 15:00:00,1.37996,1.38347,1.38382,1.37938
2018-01-17 16:00:00,1.38344,1.38241,1.38455,1.38223
2018-01-17 17:00:00,1.38243,1.38503,1.38505,1.38217
2018-01-17 18:00:00,1.38504,1.39206,1.39431,1.38492
2018-01-17 19:00:00,1.39206,1.38804,1.39209,1.38766
2018-01-17 20:00:00,1.38805,1.38558,1.38819,1.38533
2018-01-17 21:00:00,1.38557,1.38343,1.38570,1.38227
2018-01-17 22:00:00,1.38345,1.38095,1.38358,1.38073
2018-01-17 23:00:00,1.38095,1.38256,1.38322,1.38077
2018-01-18 00:00:00,1.38256,1.38211,1.38395,1.38131
2018-01-18 01:00:00,1.38204,1.38187,1.38260,1.38122
2018-01-18 02:00:00,1.38187,1.38193,1.38254,1.38141
2018-01-18 03:00:00,1.38193,1.38086,1.38203,1.38060
2018-01-18 04:00:00,1.38086,1.38233,1.38245,1.38067
2018-01-18 05:00:00,1.38231,1.38340,1.38347,1.38228
2018-01-18 06:00:00,1.38345,1.38437,1.38444,1.38263
2018-01-18 07:00:00,1.38439,1.38311,1.38482,1.38051
2018-01-18 08:00:00,1.38314,1.38229,1.38472,1.38229
2018-01-18 09:00:00,1.38230,1.38434,1.38465,1.38214
2018-01-18 10:00:00,1.38434,1.38623,1.38647,1.38299
2018-01-18 11:00:00,1.38621,1.38839,1.38895,1.38541
2018-01-18 12:00:00,1.38837,1.38690,1.38913,1.38668
2018-01-18 13:00:00,1.38691,1.38636,1.38728,1.38556
2018-01-18 14:00:00,1.38633,1.38851,1.38872,1.38613
2018-01-18 15:00:00,1.38846,1.38822,1.38947,1.38652
2018-01-18 16:00:00,1.38822,1.38882,1.39138,1.38772
2018-01-18 17:00:00,1.38882,1.38774,1.39073,1.38755
2018-01-18 18:00:00,1.38775,1.38783,1.38854,1.38653
2018-01-18 19:00:00,1.38785,1.38939,1.38951,1.38780
2018-01-18 20:00:00,1.38939,1.38907,1.38960,1.38770
2018-01-18 21:00:00,1.38908,1.38948,1.39004,1.38898
2018-01-18 22:00:00,1.38946,1.38942,1.39015,1.38925
2018-01-18 23:00:00,1.38942,1.38932,1.39009,1.38889
2018-01-19 00:00:00,1.38931,1.38945,1.39055,1.38882
2018-01-19 01:00:00,1.38944,1.38968,1.39012,1.38899
2018-01-19 02:00:00,1.38971,1.38960,1.39048,1.38922
2018-01-19 03:00:00,1.38960,1.39212,1.39244,1.38922
2018-01-19 04:00:00,1.39212,1.39168,1.39214,1.39113
2018-01-19 05:00:00,1.39168,1.39074,1.39182,1.39043
2018-01-19 06:00:00,1.39074,1.38994,1.39150,1.38987
2018-01-19 07:00:00,1.38994,1.39198,1.39207,1.38927
2018-01-19 08:00:00,1.39200,1.39358,1.39413,1.39142
2018-01-19 09:00:00,1.39359,1.39149,1.39453,1.39050
2018-01-19 10:00:00,1.39149,1.39048,1.39200,1.38978
2018-01-19 11:00:00,1.39047,1.38890,1.39121,1.38658
2018-01-19 12:00:00,1.38889,1.38641,1.38889,1.38570
2018-01-19 13:00:00,1.38641,1.38601,1.38882,1.38521
2018-01-19 14:00:00,1.38600,1.38786,1.38822,1.38510
2018-01-19 15:00:00,1.38789,1.38458,1.38827,1.38387
2018-01-19 16:00:00,1.38458,1.38546,1.38588,1.38448
2018-01-19 17:00:00,1.38546,1.38602,1.38681,1.38535
2018-01-19 18:00:00,1.38600,1.38732,1.38732,1.38534
2018-01-19 19:00:00,1.38732,1.38725,1.38813,1.38717
2018-01-19 20:00:00,1.38727,1.38633,1.38751,1.38621
2018-01-19 21:00:00,1.38632,1.38569,1.38736,1.38492
2018-01-21 22:00:00,1.38978,1.38931,1.38991,1.38826
2018-01-21 23:00:00,1.38929,1.38914,1.38936,1.38754
2018-01-22 00:00:00,1.38913,1.38797,1.38914,1.38769
2018-01-22 01:00:00,1.38797,1.38628,1.38830,1.38577
2018-01-22 02:00:00,1.38627,1.38737,1.38749,1.38597
2018-01-22 03:00:00,1.38738,1.38726,1.38757,1.38657
2018-01-22 04:00:00,1.38726,1.38656,1.38748,1.38580
2018-01-22 05:00:00,1.38655,1.38675,1.38695,1.38582
2018-01-22 06:00:00,1.38675,1.38634,1.38701,1.38579
2018-01-22 07:00:00,1.38634,1.38878,1.38964,1.38607
2018-01-22 08:00:00,1.38879,1.38997,1.39018,1.38871
2018-01-22 09:00:00,1.38997,1.38981,1.39117,1.38943
2018-01-22 10:00:00,1.38983,1.39050,1.39166,1.38971
2018-01-22 11:00:00,1.39052,1.39014,1.39109,1.38962
2018-01-22 12:00:00,1.39014,1.38929,1.39091,1.38896
2018-01-22 13:00:00,1.38930,1.39234,1.39282,1.38855
2018-01-22 14:00:00,1.39233,1.39269,1.39297,1.39148
2018-01-22 15:00:00,1.39269,1.39686,1.39708,1.39250
2018-01-22 16:00:00,1.39686,1.39414,1.39691,1.39411
2018-01-22 17:00:00,1.39416,1.39583,1.39629,1.39306
2018-01-22 18:00:00,1.39586,1.39641,1.39641,1.39495
2018-01-22 19:00:00,1.39640,1.39826,1.39887,1.39605
2018-01-22 20:00:00,1.39828,1.39885,1.39913,1.39812
2018-01-22 21:00:00,1.39883,1.39885,1.39896,1.39831
2018-01-22 22:00:00,1.39885,1.39843,1.39915,1.39824
2018-01-22 23:00:00,1.39848,1.39842,1.39877,1.39817
2018-01-23 00:00:00,1.39841,1.39874,1.40031,1.39809
2018-01-23 01:00:00,1.39874,1.39940,1.40037,1.39853
2018-01-23 02:00:00,1.39940,1.39876,1.39967,1.39794
2018-01-23 03:00:00,1.39872,1.39827,1.39936,1.39790
2018-01-23 04:00:00,1.39827,1.39859,1.39900,1.39784
2018-01-23 05:00:00,1.39859,1.39806,1.39861,1.39727
2018-01-23 06:00:00,1.39808,1.39768,1.39951,1.39720
2018-01-23 07:00:00,1.39768,1.39645,1.39779,1.39601
2018-01-23 08:00:00,1.39647,1.39543,1.39665,1.39422
2018-01-23 09:00:00,1.39543,1.39475,1.39565,1.39397
2018-01-23 10:00:00,1.39477,1.39527,1.39562,1.39357
2018-01-23 11:00:00,1.39525,1.39326,1.39576,1.39313
2018-01-23 12:00:00,1.39327,1.39516,1.39539,1.39163
2018-01-23 13:00:00,1.39518,1.39563,1.39677,1.39446
2018-01-23 14:00:00,1.39564,1.39938,1.39981,1.39512
2018-01-23 15:00:00,1.39938,1.40188,1.40283,1.39856
2018-01-23 16:00:00,1.40189,1.39665,1.40208,1.39643
2018-01-23 17:00:00,1.39664,1.39799,1.39900,1.39661
2018-01-23 18:00:00,1.39799,1.39808,1.39887,1.39757
2018-01-23 19:00:00,1.39808,1.40006,1.40018,1.39805
2018-01-23 20:00:00,1.40006,1.39975,1.40006,1.39938
2018-01-23 21:00:00,1.39977,1.40031,1.40031,1.39971
2018-01-23 22:00:00,1.40034,1.40025,1.40057,1.39998
2018-01-23 23:00:00,1.40025,1.40127,1.40192,1.39978
2018-01-24 00:00:00,1.40128,1.40071,1.40155,1.40014
2018-01-24 01:00:00,1.40070,1.40234,1.40257,1.40035
2018-01-24 02:00:00,1.40234,1.40344,1.40438,1.40207
2018-01-24 03:00:00,1.40340,1.40356,1.40377,1.40158
2018-01-24 04:00:00,1.40356,1.40307,1.40494,1.40269
2018-01-24 05:00:00,1.40307,1.40336,1.40343,1.40220
2018-01-24 06:00:00,1.40336,1.40261,1.40413,1.40245
2018-01-24 07:00:00,1.40261,1.40331,1.40394,1.40206
2018-01-24 08:00:00,1.40329,1.40854,1.40905,1.40285
2018-01-24 09:00:00,1.40854,1.40938,1.41192,1.40751
2018-01-24 10:00:00,1.40938,1.40975,1.41043,1.40860
2018-01-24 11:00:00,1.40975,1.41371,1.41489,1.40949
2018-01-24 12:00:00,1.41371,1.41507,1.41621,1.41313
2018-01-24 13:00:00,1.41507,1.41826,1.41959,1.41497
2018-01-24 14:00:00,1.41827,1.42156,1.42186,1.41800
2018-01-24 15:00:00,1.42155,1.42227,1.42418,1.42047
2018-01-24 16:00:00,1.42227,1.41983,1.42278,1.41897
2018-01-24 17:00:00,1.41982,1.41960,1.42093,1.41871
2018-01-24 18:00:00,1.41959,1.42260,1.42281,1.41940
2018-01-24 19:00:00,1.42260,1.42163,1.42273,1.42091
2018-01-24 20:00:00,1.42164,1.42086,1.42166,1.42027
2018-01-24 21:00:00,1.42088,1.42408,1.42645,1.42055
2018-01-24 22:00:00,1.42398,1.42418,1.42589,1.42374
2018-01-24 23:00:00,1.42418,1.42207,1.42418,1.42194
2018-01-25 00:00:00,1.42207,1.42254,1.42288,1.42151
2018-01-25 01:00:00,1.42254,1.42439,1.42441,1.42163
2018-01-25 02:00:00,1.42438,1.42680,1.42709,1.42361
2018-01-25 03:00:00,1.42680,1.42931,1.43058,1.42664
2018-01-25 04:00:00,1.42930,1.42936,1.43008,1.42871
2018-01-25 05:00:00,1.42937,1.42985,1.43025,1.42852
2018-01-25 06:00:00,1.42985,1.42940,1.43291,1.42663
2018-01-25 07:00:00,1.42919,1.42546,1.42927,1.42453
2018-01-25 08:00:00,1.42550,1.42473,1.42698,1.42338
2018-01-25 09:00:00,1.42473,1.42877,1.42937,1.42418
2018-01-25 10:00:00,1.42877,1.42638,1.42879,1.42525
2018-01-25 11:00:00,1.42637,1.42570,1.42793,1.42504
2018-01-25 12:00:00,1.42568,1.42540,1.42708,1.42539
2018-01-25 13:00:00,1.42543,1.43127,1.43147,1.42515
2018-01-25 14:00:00,1.43126,1.42980,1.43457,1.42768
2018-01-25 15:00:00,1.42978,1.43020,1.43194,1.42839
2018-01-25 16:00:00,1.43020,1.42631,1.43091,1.42611
2018-01-25 17:00:00,1.42628,1.42560,1.42790,1.42396
2018-01-25 18:00:00,1.42562,1.42415,1.42762,1.42385
2018-01-25 19:00:00,1.42413,1.41259,1.42422,1.40838
2018-01-25 20:00:00,1.41261,1.41417,1.41618,1.41197
2018-01-25 21:00:00,1.41420,1.41458,1.41711,1.41336
2018-01-25 22:00:00,1.41454,1.41142,1.41553,1.41129
2018-01-25 23:00:00,1.41144,1.41503,1.41539,1.41144
2018-01-26 00:00:00,1.41503,1.41651,1.41661,1.41465
2018-01-26 01:00:00,1.41652,1.41869,1.41923,1.41600
2018-01-26 02:00:00,1.41866,1.41838,1.41891,1.41694
2018-01-26 03:00:00,1.41838,1.41880,1.41886,1.41799
2018-01-26 04:00:00,1.41880,1.41809,1.41912,1.41801
2018-01-26 05:00:00,1.41808,1.41818,1.41831,1.41661
2018-01-26 06:00:00,1.41817,1.42236,1.42289,1.41772
2018-01-26 07:00:00,1.42236,1.42440,1.42626,1.42203
2018-01-26 08:00:00,1.42440,1.42363,1.42651,1.42187
2018-01-26 09:00:00,1.42363,1.42612,1.42874,1.42287
2018-01-26 10:00:00,1.42613,1.42404,1.42613,1.42402
2018-01-26 11:00:00,1.42404,1.42484,1.42690,1.42385
2018-01-26 12:00:00,1.42484,1.42439,1.42520,1.42383
